month,AggLiq,LiqInno,LiqTrad
2003-12-01,-0.02134025,0.04915223,-0.00327383
2004-01-01,-0.10836096,-0.02056076,-0.05278612
2004-02-01,-0.03629706,-0.05957922,0.02821727
2004-03-01,0.02709084,0.07366107,0.01684606
2004-04-01,-0.05259627,0.00903864,-0.00451048
2004-05-01,-0.00584636,-0.02322532,-0.00184917
2004-06-01,0.05580165,0.11120760,0.02598052
2004-07-01,-0.03592135,-0.01309997,0.07181666
2004-08-01,0.00419211,0.04851191,0.06520698
2004-09-01,-0.02612415,0.00103242,-0.00145842
2004-10-01,0.01505644,0.01856696,-0.01576515
2004-11-01,-0.01810987,0.03206091,0.01382888
2004-12-01,-0.07001299,-0.02017208,-0.03431977
2005-01-01,-0.00561092,0.01171446,0.04238401
2005-02-01,-0.05566893,-0.00294573,0.05583696
2005-03-01,-0.02000190,0.00192760,-0.00300091
2005-04-01,-0.12695313,-0.09916346,-0.05295723
2005-05-01,0.00357970,0.04804151,0.00014587
2005-06-01,0.00197650,0.08026978,0.04271190
2005-07-01,0.02442722,0.03452101,0.02728237
2005-08-01,0.04779531,0.07801602,0.02995726
2005-09-01,-0.02282613,0.02038559,0.03393450
2005-10-01,-0.05176370,0.01028320,-0.04393140
2005-11-01,0.08820635,0.06655244,0.00550748
2005-12-01,-0.02396660,-0.07591540,0.00038138
2006-01-01,-0.05568256,-0.03611857,0.03383014
2006-02-01,-0.05908258,-0.04117823,-0.03888196
2006-03-01,-0.02457918,0.01975108,0.01238598
2006-04-01,0.01282215,0.02870725,-0.00666897
2006-05-01,-0.02519272,0.00904616,0.02055420
2006-06-01,-0.06745814,0.00033912,0.03208476
2006-07-01,0.00392041,-0.00189564,0.05469685
2006-08-01,0.01674504,-0.02616406,-0.02801405
2006-09-01,-0.06006415,-0.04166526,-0.01752444
2006-10-01,0.03231136,0.06053051,0.03803449
2006-11-01,-0.00477928,0.03922595,0.02836054
2006-12-01,0.02912667,0.02217794,-0.01617033
2007-01-01,0.04338604,0.01176017,0.00349177
2007-02-01,-0.00636273,0.03406100,0.02498007
2007-03-01,-0.03858859,-0.02649698,0.02949978
2007-04-01,-0.01314712,0.00980078,0.02012920
2007-05-01,0.02691214,0.06141274,0.02757409
2007-06-01,0.06254018,0.09349734,0.00808435
2007-07-01,-0.00280120,-0.01337912,0.02647683
2007-08-01,-0.15688331,-0.19384495,-0.00468925
